,計測日時,ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,切羽からの距離,計測経過日数,沈下量,支保寸法,吹付厚,ﾛｯｸﾎﾞﾙﾄ数,ﾛｯｸﾎﾞﾙﾄ長,覆工厚,土被り高さ,岩石グループ,岩石名コード,加重平均評価点,補助工法の緒元,増し支保工の緒元,計測条件・状態等,インバートの早期障害,支保工種,支保パターン2,圧縮強度,風化変質,割目間隔,割目状態,割目の方向・平行,湧水量,劣化,評価点,最終沈下量との差分,position_id,補助工法の緒元_bit,増し支保工の緒元_bit,計測条件・状態等_bit,インバートの早期障害_bit,支保工種_numeric,支保パターン2_numeric,pred,mode
2920,2007-12-05,766.0,870.0,STA 646+12,868.663,869.842,1.1789999999999736,0,0.0,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.9,2,1,0,0,0,-1,-1,-2.7310000000000025,train
2921,2007-12-06,766.0,870.0,STA 646+12,868.662,875.646,6.982999999999947,1,-1.1,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.7999999999999998,2,1,0,0,0,-1,-1,-1.4455,train
2922,2007-12-07,766.0,870.0,STA 646+12,868.662,880.957,12.293999999999983,2,-2.1,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,0.20000000000000018,2,1,0,0,0,-1,-1,-0.7749999999999985,train
2923,2007-12-08,766.0,870.0,STA 646+12,868.662,885.178,16.514999999999986,3,-1.5,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.3999999999999999,2,1,0,0,0,-1,-1,-0.8655000000000003,train
2924,2007-12-09,766.0,870.0,STA 646+12,868.662,886.4,17.736999999999966,4,-1.2,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.7,2,1,0,0,0,-1,-1,-0.8780000000000011,train
2925,2007-12-12,766.0,870.0,STA 646+12,868.664,899.027,30.364000000000033,7,-0.5,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.4,2,1,0,0,0,-1,-1,-1.545500000000002,train
2926,2007-12-13,766.0,870.0,STA 646+12,868.661,901.565,32.902000000000044,8,-0.4,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.5,2,1,0,0,0,-1,-1,-1.7020000000000002,train
2927,2007-12-16,766.0,870.0,STA 646+12,868.662,904.4,35.736999999999966,11,-1.3,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.5999999999999999,2,1,0,0,0,-1,-1,-0.9234999999999992,train
2928,2007-12-18,766.0,870.0,STA 646+12,-117.9,908.66,39.99699999999996,13,-0.6,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.2999999999999998,2,1,0,0,0,-1,-1,-0.8659999999999992,train
2929,2007-12-21,766.0,870.0,STA 646+12,868.661,928.265,59.601999999999975,16,-0.4,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.5,2,1,0,0,0,-1,-1,-1.0880000000000003,train
2930,2007-12-25,766.0,870.0,STA 646+12,868.661,938.26,69.59699999999998,20,-1.2,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.7,2,1,0,0,0,-1,-1,-0.5190000000000006,train
